id,yelp_review,time,bad_service,bad_food,location
13,$$,2014-05,0.5,0.3,austin
13,$$,2014-06,0.6,0,austin
13,$$,2014-07,0.375,0.375,austin
13,$$,2014-08,0.2857142857142857,0.14285714285714285,austin
13,$$,2014-09,0.2,0,austin
13,$$,2014-10,0.14285714285714285,0.14285714285714285,austin
13,$$,2014-11,0,1,austin
13,$$,2014-12,0.25,0,austin
13,$$,2015-01,0.2,0.6,austin
13,$$,2015-02,0,0,austin
13,$$,2015-03,0.3333333333333333,0.3333333333333333,austin
13,$$,2015-04,0,0.5,austin
13,$$,2015-05,0.75,0.5,austin
13,$$,2015-06,0.7142857142857143,0.2857142857142857,austin
13,$$,2015-07,0.7,0.4,austin
13,$$,2015-08,0.2857142857142857,0.2857142857142857,austin
13,$$,2015-09,0.2,0.5,austin
13,$$,2015-10,0.5,0.3333333333333333,austin
13,$$,2015-11,0.6666666666666666,0,austin
13,$$,2015-12,0.5555555555555556,0.3333333333333333,austin
13,$$,2016-01,0.42857142857142855,0.42857142857142855,austin
13,$$,2016-02,0.42857142857142855,0.5714285714285714,austin
13,$$,2016-03,0.6,0,austin
13,$$,2016-04,0.4444444444444444,0.4444444444444444,austin
13,$$,2016-05,0.4,0.4,austin
13,$$,2016-06,0.5555555555555556,0.2222222222222222,austin
13,$$,2016-07,0.6111111111111112,0.3333333333333333,austin
13,$$,2016-08,0.3333333333333333,0.16666666666666666,austin
13,$$,2016-09,0.6666666666666666,0.6666666666666666,austin
13,$$,2016-10,0.25,0.25,austin
13,$$,2016-11,0,0.5,austin
13,$$,2016-12,0.25,0.75,austin
13,$$,2017-02,0.3333333333333333,0.3333333333333333,austin
13,$$,2017-03,0.7777777777777778,0.1111111111111111,austin
13,$$,2017-04,0.6428571428571429,0.35714285714285715,austin
13,$$,2017-05,0.46153846153846156,0.15384615384615385,austin
13,$$,2017-06,0.375,0.375,austin
13,$$,2017-07,0.7,0.5,austin
13,$$,2017-08,0.25,0.5,austin
13,$$,2017-09,0.5,0,austin
13,$$,2017-10,0.5,0.5,austin
13,$$,2017-11,0.25,0.25,austin
13,$$,2017-12,0,0.25,austin
13,$$,2018-01,0.5,0,austin
13,$$,2018-02,0.5,1,austin
13,$$,2018-03,0.6666666666666666,0.3333333333333333,austin
13,$$,2018-04,0.5555555555555556,0.3333333333333333,austin
13,$$,2018-05,0.4166666666666667,0.16666666666666666,austin
13,$$,2018-06,0.5,0.5,austin
13,$$,2018-07,0.5714285714285714,0,austin
13,$$,2018-09,0.25,0,austin
13,$$,2018-10,1,0.5,austin
13,$$,2018-11,0.25,0,austin
13,$$,2018-12,0.5,0.5,austin
13,$$,2019-01,1,0,austin
13,$$,2019-02,0,0,austin
13,$$,2019-03,0.25,0.25,austin
13,$$,2019-04,0.6666666666666666,0.3333333333333333,austin
13,$$,2019-05,0.6,0.2,austin
20,$$,2014-05,0,1,austin
20,$$,2014-06,0,0.2,austin
20,$$,2014-07,0,0,austin
20,$$,2014-08,0,0.16666666666666666,austin
20,$$,2014-09,0.4,0,austin
20,$$,2014-10,0,0,austin
20,$$,2014-11,0,0,austin
20,$$,2014-12,0,0,austin
20,$$,2015-01,0.5,1,austin
20,$$,2015-02,0,0.3333333333333333,austin
20,$$,2015-03,1,0,austin
20,$$,2015-04,0,0,austin
20,$$,2015-05,0,0,austin
20,$$,2015-06,0,0,austin
20,$$,2015-07,0.2,0,austin
20,$$,2015-08,0.3333333333333333,0,austin
20,$$,2015-09,1,1,austin
20,$$,2015-10,0,0,austin
20,$$,2015-11,0.4,0.4,austin
20,$$,2015-12,0,0,austin
20,$$,2016-01,0.09090909090909091,0.18181818181818182,austin
20,$$,2016-02,1,0,austin
20,$$,2016-03,0,0,austin
20,$$,2016-04,0,0,austin
20,$$,2016-05,0,0.16666666666666666,austin
20,$$,2016-06,0,0,austin
20,$$,2016-07,0,0,austin
20,$$,2016-08,0,0,austin
20,$$,2016-09,0.5,0,austin
20,$$,2016-10,0.5,0,austin
20,$$,2016-11,0.16666666666666666,0,austin
20,$$,2016-12,0,0,austin
20,$$,2017-01,0.6666666666666666,0,austin
20,$$,2017-02,0,0.2,austin
20,$$,2017-03,0,0,austin
20,$$,2017-04,0,0,austin
20,$$,2017-05,0.2,0.2,austin
20,$$,2017-06,0,0,austin
20,$$,2017-07,0,0.6666666666666666,austin
20,$$,2017-08,0,0.25,austin
20,$$,2017-09,0,0,austin
20,$$,2017-10,0,0,austin
20,$$,2017-11,0,0,austin
20,$$,2017-12,0.5,0,austin
20,$$,2018-01,0.3333333333333333,0,austin
20,$$,2018-03,0,0,austin
20,$$,2018-04,0,0.5,austin
20,$$,2018-05,0,0,austin
20,$$,2018-06,0.25,0,austin
20,$$,2018-07,0,0.3333333333333333,austin
20,$$,2018-08,0,0,austin
20,$$,2018-09,1,1,austin
20,$$,2018-10,0,0.5,austin
20,$$,2018-11,1,0,austin
20,$$,2018-12,0,0,austin
20,$$,2019-01,0,0,austin
20,$$,2019-02,0,0,austin
20,$$,2019-03,0,0,austin
20,$$,2019-04,0,0,austin
20,$$,2019-05,0,0,austin
21,$$,2014-05,0,0.16666666666666666,austin
21,$$,2014-06,0.25,0.3333333333333333,austin
21,$$,2014-07,0.4,0.2,austin
21,$$,2014-08,0.4444444444444444,0.6666666666666666,austin
21,$$,2014-09,0.25,0.25,austin
21,$$,2014-10,0.25,0.375,austin
21,$$,2014-11,0,0,austin
